ID,UID,DATE,RA,DEC,INSTR,WAV_RANGE,DV_PIXEL,SNR,Z
J000039-001804,QSO460,2015-09-02,+00h00m39.00s,-00d18m03.90s,SofI/NTT,1.50-2.54,154.0,4.9,2.14
J000345-232353,QSO552,2009-07-07,+00h03m45.00s,-23d23m53.40s,SINFONI/VLT,1.44-1.87,36.0,12.7,2.27
J000345-232353,QSO330,2011-09-18,+00h03m45.00s,-23d23m53.40s,SofI/NTT,1.48-1.83,63.0,36.0,2.26
J000451-084450,QSO290,2013-07-12,+00h04m50.66s,-08d44m49.63s,XSHOOTER/VLT,0.31-2.28,15.0,10.3,3.0
J000451-084452,QSO289,2013-08-08,+00h04m50.91s,-08d44m51.98s,XSHOOTER/VLT,0.31-2.28,15.0,5.4,3.0
J000500-003348,QSO454,2015-09-01,+00h05m00.42s,-00d33m48.20s,SofI/NTT,1.50-2.54,154.0,8.2,2.18
J000501+010221,QSO459,2015-09-02,+00h05m00.53s,+01d02m20.80s,SofI/NTT,1.50-2.54,154.0,6.8,2.13
J001016+001228,QSO475,2015-09-04,+00h10m16.49s,+00d12m27.60s,SofI/NTT,1.50-2.54,154.0,8.9,2.28
J001247+001239,QSO082,2013-06-06,+00h12m47.12s,+00d12m39.49s,ISAAC/VLT,1.52-1.60,15.0,19.1,2.16
J001708+813508,QSO107,2012-08-04,+00h17m08.48s,+81d35m08.10s,TRIPLESPEC/Hale,0.94-2.80,39.0,36.5,3.4
J001919+010152,QSO476,2015-09-04,+00h19m19.31s,+01d01m52.20s,SofI/NTT,1.50-2.54,154.0,6.5,2.32
J001955-091316,QSO001,2004-11-26,+00h19m54.67s,-09d13m16.45s,GNIRS/Gemini,0.60-2.61,88.0,9.9,2.12
J002018-233654,QSO553,2009-07-07,+00h20m18.41s,-23d36m53.80s,SINFONI/VLT,1.44-1.87,36.0,16.9,2.3
J002023-414639,QSO554,2009-07-08,+00h20m23.38s,-41d46m38.90s,SINFONI/VLT,1.09-1.41,35.0,33.4,1.57
J002111-242247,QSO555,2009-07-16,+00h21m10.90s,-24d22m47.20s,SINFONI/VLT,1.44-1.86,36.0,11.1,2.26
J002330-003220,QSO473,2015-09-04,+00h23m29.60s,-00d32m19.80s,SofI/NTT,1.50-2.54,154.0,7.0,2.4
J002948-095639,QSO478,2010-11-28,+00h29m48.04s,-09d56m39.40s,TRIPLESPEC/ARC,0.95-2.46,63.0,10.4,1.62
J002952+020607,QSO556,2009-07-14,+00h29m52.12s,+02d06m07.10s,SINFONI/VLT,1.44-1.86,36.0,12.4,2.34
J003136+003421,QSO176,2011-10-03,+00h31m35.58s,+00d34m21.29s,XSHOOTER/VLT,0.31-2.28,15.0,13.9,2.23
J004131-493612,QSO340,2011-09-19,+00h41m31.44s,-49d36m11.80s,SofI/NTT,1.95-2.43,64.0,8.2,3.24
J004150-094705,QSO479,2010-11-28,+00h41m49.64s,-09d47m05.00s,TRIPLESPEC/ARC,0.95-2.46,63.0,14.1,1.63
J004301-280543,QSO557,2009-07-07,+00h43m00.55s,-28d05m43.50s,SINFONI/VLT,1.44-1.87,36.0,13.8,2.33
J004417-311436,QSO559,2009-07-07,+00h44m17.12s,-31d14m36.00s,SINFONI/VLT,1.44-1.87,36.0,22.0,2.35
J004418-305721,QSO558,2009-07-07,+00h44m18.05s,-30d57m20.60s,SINFONI/VLT,1.44-1.87,36.0,17.4,2.67
J004613+002358,QSO469,2015-09-03,+00h46m13.48s,+00d23m58.00s,SofI/NTT,1.50-2.54,154.0,5.5,2.13
J005202+010129,QSO560,2009-08-18,+00h52m02.40s,+01d01m29.20s,SINFONI/VLT,1.43-1.87,36.0,12.3,2.28
J005202+010129,QSO461,2015-09-02,+00h52m02.40s,+01d01m29.20s,SofI/NTT,1.50-2.54,154.0,15.7,2.28
J005413-275534,QSO561,2009-07-15,+00h54m12.55s,-27d55m33.80s,SINFONI/VLT,1.44-1.86,36.0,6.3,2.26
J005441-533218,QSO562,2009-07-15,+00h54m41.08s,-53d32m17.60s,SINFONI/VLT,1.44-1.86,36.0,12.4,2.27
J005455-004244,QSO466,2015-09-03,+00h54m54.84s,-00d42m44.00s,SofI/NTT,1.50-2.54,154.0,25.2,2.23
J005534-344434,QSO564,2009-08-16,+00h55m34.31s,-34d44m34.30s,SINFONI/VLT,1.44-1.86,36.0,14.3,2.32
J005547-635854,QSO565,2009-07-16,+00h55m46.77s,-63d58m53.70s,SINFONI/VLT,1.44-1.86,36.0,10.5,2.25
J005613-323433,QSO563,2009-08-22,+00h56m13.47s,-32d34m32.60s,SINFONI/VLT,1.44-1.86,36.0,16.7,2.22
J005717-000113,QSO083,2013-06-07,+00h57m17.37s,-00d01m13.20s,ISAAC/VLT,1.52-1.60,15.0,7.4,2.15
J005717-000113,QSO108,2011-09-09,+00h57m17.37s,-00d01m13.20s,TRIPLESPEC/Hale,0.94-2.80,39.0,5.8,2.16
J005758-264315,QSO335,2011-09-20,+00h57m58.01s,-26d43m14.90s,SofI/NTT,1.50-2.53,154.0,23.8,3.66
J005814+011530,QSO467,2015-09-03,+00h58m14.31s,+01d15m30.20s,SofI/NTT,1.50-2.54,154.0,12.9,2.53
J010012-270853,QSO279,2012-11-08,+01h00m12.31s,-27d08m53.30s,XSHOOTER/VLT,0.31-2.48,16.0,12.9,3.52
J010737-385325,QSO567,2009-08-22,+01h07m37.26s,-38d53m24.50s,SINFONI/VLT,1.44-1.86,36.0,16.8,2.33
J010806+163550,QSO110,2011-09-10,+01h08m06.41s,+16d35m50.00s,TRIPLESPEC/Hale,0.94-2.80,39.0,22.4,2.66
J011144-350300,QSO331,2011-09-19,+01h11m43.62s,-35d03m00.40s,SofI/NTT,1.48-1.83,63.0,24.5,2.4
J011150+140141,QSO058,2007-10-02,+01h11m50.06s,+14d01m41.39s,NIRI/Gemini,1.40-1.93,94.0,27.2,2.48
