UID,FWHM_BROAD_HA,FWHM_BROAD_HA_ERR,SIGMA_BROAD_HA,SIGMA_BROAD_HA_ERR,Z_BROAD_HA,Z_BROAD_HA_ERR,LOGMBH_HA,LOGMBH_HA_ERR,FWHM_BROAD_HB,FWHM_BROAD_HB_ERR,SIGMA_BROAD_HB,SIGMA_BROAD_HB_ERR,Z_BROAD_HB,Z_BROAD_HB_ERR,LOGMBH_HB,LOGMBH_HB_ERR,FWHM_CIV,FWHM_CIV_ERR,SIGMA_CIV,SIGMA_CIV_ERR,EQW_CIV,EQW_CIV_ERR,1400_CIV,BLUESHIFT_CIV_HA,BLUESHIFT_CIV_HA_ERR,BLUESHIFT_CIV_HB,BLUESHIFT_CIV_HB_ERR,LOGMBH_CIV_VP06,LOGMBH_CIV_VP06_ERR,LOGMBH_CIV_C17
QSO001,4560.0,84.0,3494.0,41.0,2.1242,0.00024,9.39,0.05,,,,,,,,,4560.0,542.0,4265.0,148.0,32.7,3.0,0.41,485.0,119.0,,,9.16,0.12,9.38
QSO002,3222.0,27.0,2613.0,36.0,2.1953,7e-05,9.21,0.05,3487.0,263.0,4016.0,265.0,2.1972,0.00142,9.13,0.08,5770.0,169.0,3432.0,166.0,31.4,1.8,0.45,1995.0,60.0,2168.0,146.0,9.55,0.06,9.28
QSO003,3994.0,51.0,2798.0,45.0,2.1026,0.0001,9.18,0.05,4074.0,95.0,2680.0,40.0,2.102,0.00023,9.06,0.05,3803.0,194.0,3253.0,110.0,38.8,1.9,0.18,384.0,37.0,326.0,42.0,9.08,0.07,9.33
QSO004,4303.0,66.0,3107.0,27.0,2.1716,9e-05,9.47,0.05,5073.0,193.0,4044.0,176.0,2.1684,0.00115,9.47,0.06,5537.0,182.0,3840.0,65.0,28.2,0.8,0.39,2547.0,42.0,2246.0,116.0,9.54,0.06,9.14
QSO005,4557.0,61.0,2960.0,44.0,2.1383,0.00013,9.37,0.05,5493.0,174.0,3751.0,262.0,2.136,0.00155,9.39,0.06,6679.0,397.0,3566.0,390.0,22.4,2.3,0.6,1856.0,158.0,1633.0,216.0,9.6,0.07,9.37
QSO006,4331.0,136.0,2815.0,126.0,2.153,0.00023,9.29,0.06,,,,,,,,,5103.0,160.0,3664.0,97.0,37.2,1.5,0.48,781.0,50.0,,,9.29,0.06,9.38
QSO007,4160.0,48.0,2838.0,21.0,2.1919,0.0001,9.56,0.05,4205.0,38.0,3674.0,24.0,2.1943,0.00012,9.43,0.05,5018.0,83.0,3580.0,50.0,42.8,1.0,0.24,781.0,26.0,1011.0,27.0,9.51,0.05,9.6
QSO009,4733.0,10.0,2879.0,14.0,2.1879,4e-05,9.44,0.05,5271.0,56.0,2239.0,23.0,2.1886,0.00014,9.39,0.05,2803.0,130.0,3451.0,65.0,56.5,1.6,0.22,511.0,27.0,581.0,30.0,8.84,0.07,9.04
QSO010,4575.0,113.0,3108.0,51.0,2.1762,9e-05,9.54,0.05,4215.0,202.0,4017.0,131.0,2.1733,0.00076,9.33,0.07,5576.0,161.0,3537.0,101.0,26.2,1.1,0.34,1563.0,50.0,1283.0,87.0,9.58,0.06,9.42
QSO012,2528.0,27.0,2360.0,35.0,2.1837,4e-05,8.94,0.05,3603.0,111.0,3664.0,58.0,2.1833,0.00036,9.09,0.06,1936.0,25.0,3001.0,43.0,87.6,1.7,0.16,226.0,8.0,185.0,34.0,8.53,0.05,8.86
QSO013,4041.0,26.0,2705.0,54.0,2.1418,9e-05,9.28,0.05,5169.0,237.0,3618.0,99.0,2.1407,0.00089,9.35,0.06,3062.0,175.0,3495.0,146.0,40.7,2.5,0.27,865.0,48.0,762.0,98.0,8.86,0.07,8.92
QSO014,2937.0,13.0,2420.0,20.0,2.1845,4e-05,9.1,0.05,2862.0,109.0,2315.0,328.0,2.184,0.00071,8.93,0.06,3901.0,117.0,3504.0,73.0,44.2,1.3,0.27,1149.0,32.0,1103.0,74.0,9.16,0.06,9.13
