UID,OIII_V5,OIII_V5_ERR,OIII_V10,OIII_V10_ERR,OIII_V25,OIII_V25_ERR,OIII_V50,OIII_V50_ERR,OIII_V75,OIII_V75_ERR,OIII_V90,OIII_V90_ERR,OIII_V95,OIII_V95_ERR,z_OIII,z_OIII_ERR,OIII_W50,OIII_W50_ERR,OIII_W80,OIII_W80_ERR,OIII_W90,OIII_W90_ERR,OIII_A,OIII_A_ERR,OIII_EQW,OIII_EQW_ERR,OIII_LUM,OIII_LUM_ERR,EQW_FE_4434_4684,EQW_FE_4434_4684_ERR,HB_VPEAK,HB_VPEAK_ERR,HA_VPEAK,HA_VPEAK_ERR,HB_Z,HB_Z_ERR,HA_Z,HA_Z_ERR,OIII_FE_FLAG,OIII_EXTREM_FLAG
QSO001,-1194.0,202.8,-891.0,158.06,-410.0,83.32,-75.0,0.5,190.0,82.74,443.0,157.56,635.0,202.22,2.124028,0.000959427985,594.922503909,166.06,1325.76614261,315.62,1819.11028416,405.02,-0.335832083958,0.000673507954645,5.46,1.12528271227,43.11,0.06456221255,30.31,4.23752819065,521.0,95.5599916283,-335.233478523,,2.129452,0.001402903215,2.12070536,,0,0
QSO002,-1474.0,67.16,-1157.0,69.08,-621.0,65.58,-77.0,41.16,398.0,66.08,926.0,87.46,1243.0,83.38,2.192909,0.00035268325,1016.01859513,51.58,2077.73647629,57.58,2710.35241729,51.16,-0.110897743639,0.0736262708674,23.87,2.19849613675,43.86,0.04351794285,80.45,4.4370917166,360.0,5.36689854572,-149.458274876,,2.196675,0.000367713885,2.19370687,,0,0
QSO003,-899.0,135.5,-689.0,97.16,-346.0,44.08,-47.0,30.08,215.0,41.0,492.0,49.5,689.0,60.5,2.101696,0.00028718491,555.566184767,17.0,1171.69145465,70.5,1576.59925978,114.66,-0.166807790008,0.1191374543,18.01,0.68206912385,43.44,0.01635836155,12.97,1.95091494,34.0,,-197.349518726,,2.10202,0.00027942731,2.10055728,,0,0
QSO004,-881.0,214.32,-650.0,185.98,-285.0,133.66,139.0,109.5,656.0,192.48,1225.0,313.82,1569.0,377.74,2.164471,0.00152702498,937.770646617,147.4,1869.1508406,281.16,2442.62588743,367.9,0.306666666667,0.232645326298,4.87,1.03715016237,43.23,0.09134609885,91.24,4.1903718139,288.0,,-451.855340032,,2.167305,0.000339384545,2.166821,,0,0
QSO005,-1400.0,57.0,-1091.0,44.0,-574.0,23.5,0.0,0.5,574.0,23.08,1090.0,44.0,1399.0,56.5,2.13892,0.00060476274,1145.3544367,46.08,2175.97354416,88.5,2792.54762286,113.0,-0.000458505272811,0.000458295142072,13.82,2.99744863472,43.36,0.11671286105,107.47,5.3584641575,-223.0,,58.8327488061,,2.136604,0.000534717805,2.13891585,,0,0
QSO006,-1049.0,248.9,-817.0,193.82,-430.0,101.66,-1.0,0.5,429.0,101.74,816.0,193.48,1048.0,248.56,2.151182,0.00071481822,855.461153798,203.9,1626.28068454,387.3,2088.37980883,497.46,-0.000612369871402,0.00050706842769,20.81,6.9742063661,43.47,0.1279059172,85.48,10.7668709858,500.0,146.650093761,83.0,,2.156387,0.001709057335,2.15387293,,0,0
QSO007,-1397.0,273.08,-1193.0,198.5,-714.0,139.0,-96.0,111.08,463.0,128.5,950.0,175.16,1238.0,208.16,2.185966,0.00073997079,1174.41976553,83.58,2137.88420287,177.0,2628.14501615,256.82,-0.113392440504,0.148845107044,18.66,2.81837685195,44.08,0.0732867248,30.3,0.7423081518,747.0,,88.6236322567,52.4170010588,2.193742,0.000303440425,2.19284009,,0,1
QSO009,-816.0,60.5,-589.0,37.0,-258.0,9.0,-28.0,1.5,174.0,8.0,409.0,23.5,610.0,43.5,2.184699,2.06494400001e-05,424.919740253,16.5,986.967002944,61.0,1413.29304319,103.5,-0.180360721443,0.01052632667,31.5,1.2308987227,43.87,0.0179491034,12.46,1.0427443958,-71.0,12.3389626793,-344.595926535,5.12347538298,2.183849,0.000132921125,2.18423556,,0,0
QSO010,-496.0,62.66,-387.0,48.66,-204.0,25.66,0.0,0.5,203.0,25.58,386.0,48.58,496.0,62.66,2.1737,0.000288854105,399.476890016,51.24,758.702092326,97.24,973.645328613,125.32,-0.0012936610608,0.00130602982789,2.41,0.263659436735,42.97,0.050425586,62.41,1.9577263701,-81.0,7.24662680148,-260.426019646,,2.172767,0.00030724522,2.17343897,,0,0
QSO011,-450.0,22.5,-350.0,17.08,-185.0,9.0,-1.0,0.5,183.0,9.0,349.0,17.08,448.0,22.0,2.302607,0.000165786105,359.66204367,18.08,683.155081149,34.5,877.681733847,44.5,-0.00143061516452,0.0013972739934,19.1,1.3373059432,42.48,0.02326149885,75.69,11.8788273462,216.0,125.52665215,113.441036309,,2.30499,0.001393297895,2.30374928,,0,0
QSO012,-982.0,32.5,-701.0,23.16,-303.0,8.0,-34.0,3.5,202.0,4.5,468.0,12.0,701.0,22.0,2.182339,2.57777949999e-05,498.956697176,6.5,1159.59512973,25.58,1672.24705888,46.0,-0.199315654405,0.0188715419605,53.4,0.647910425,44.09,0.004667575,25.52,2.42941565325,60.0,12.7573508222,-146.915356535,3.74165738677,2.182935,0.00013805584,2.18214,,0,0
QSO013,-1405.0,354.5,-1187.0,324.5,-799.0,262.0,-302.0,163.5,21.0,151.66,213.0,199.5,323.0,229.5,2.139032,0.001466073825,816.292095795,118.0,1392.15655186,141.5,1717.52881371,145.74,-0.695714285714,0.357743345436,21.9,1.1289950267,43.63,0.021603078,43.56,3.63568223415,55.0,,-296.598300465,,2.139526,0.000414795105,2.13869084,,0,0
QSO014,-1326.0,31.0,-1090.0,24.58,-683.0,17.5,-222.0,10.0,99.0,10.0,363.0,20.5,566.0,32.16,2.183273,8.33347650002e-05,778.111036843,16.5,1445.44417564,35.0,1882.44129415,52.5,-0.500344115623,0.0210673056835,20.73,0.39072444435,43.83,0.0079106825,29.99,1.2243742468,45.0,8.29517932296,-81.4386673953,12.7326352339,2.183714,0.0001230068,2.18363476,,0,0
QSO015,-1344.0,38.5,-1048.0,30.0,-552.0,15.5,-1.0,0.5,550.0,15.58,1046.0,30.08,1343.0,38.16,2.115772,0.000689747925,1099.24373351,31.58,2088.76419562,60.08,2680.27801281,76.66,-0.000955109837631,0.000462809548228,5.43,0.355114443175,43.46,0.0280262271,53.24,1.6753570383,1482.0,,-62.1110725119,,2.130772,0.000182820645,2.13124519,,1,0
QSO016,-869.0,61.5,-618.0,15.0,-298.0,11.0,-35.0,13.0,206.0,23.5,433.0,32.5,592.0,40.16,2.124223,0.000248012225,497.944560827,13.0,1040.52912737,47.0,1448.60009179,101.58,-0.176022835395,0.0299431492315,43.7,0.5683270783,43.98,0.00510912275,10.32,1.05614474104,4.0,,-129.633931661,,2.124224,7.81940949999e-05,2.12424823,,0,0
QSO017,-1365.0,25.5,-1011.0,25.5,-438.0,15.66,-55.0,8.0,259.0,11.5,654.0,29.58,989.0,35.08,2.199477,6.21970549999e-05,692.633947809,9.5,1658.41034274,20.5,2346.32419455,22.5,-0.214414414414,0.0309949700705,27.37,0.3924063367,43.91,0.00531211955,30.5,1.8015089741,197.0,7.36545993133,93.7700882307,,2.201543,0.00010142567,2.20169969,,0,0
QSO018,-1194.0,470.56,-891.0,366.48,-410.0,192.74,-75.0,0.5,190.0,192.74,443.0,366.4,635.0,470.14,2.107929,0.003646808395,594.922503909,385.48,1325.76614261,732.88,1819.11028416,940.7,-0.335832083958,0.00269647029886,3.96,3.07846178895,42.14,0.4059746314,74.67,5.92150587385,114.0,,-105.477846087,,2.109106,0.00080659194,2.10700653,,0,0
QSO019,-600.0,27.5,-468.0,21.5,-246.0,11.5,0.0,0.5,246.0,11.0,467.0,21.5,600.0,27.08,2.209182,0.0001556481,485.795003738,22.5,923.214419786,43.0,1184.87181835,54.58,-0.00106951871658,0.00105708245243,12.89,0.7935737835,43.08,0.02090948565,46.69,9.38807865685,-73.0,145.388258123,495.35578632,122.142390676,2.20856,0.001562020695,2.20919399,,0,0
QSO020,-691.0,166.24,-539.0,129.32,-284.0,68.5,-1.0,0.5,283.0,68.16,538.0,129.24,690.0,166.32,2.273235,0.000822856305,561.624238844,136.66,1066.78435726,258.56,1367.87507687,332.56,-0.000928505106778,0.0008096929513,8.47,1.57024773925,42.81,0.0778344141,101.71,11.5173338571,329.0,169.151037833,-38.4680419601,,2.276682,0.002034609215,2.27787896,,0,0
QSO021,-1194.0,236.22,-891.0,184.06,-410.0,96.82,-75.0,0.5,190.0,96.74,443.0,183.98,635.0,236.14,2.119728,0.001723219245,594.922503909,194.06,1325.76614261,368.04,1819.11028416,472.86,-0.335832083958,0.00060987521963,3.26,3.36960088642,42.87,0.15475631065,124.19,6.779452032,-24.0,,-122.561013898,,2.119473,0.00032073962,2.11862463,,0,0
QSO022,-1783.0,38.58,-1455.0,35.66,-887.0,33.66,-229.0,24.58,106.0,12.5,478.0,48.58,804.0,55.08,2.171653,7.70006049999e-05,989.940293986,25.24,1927.32687028,34.58,2580.01748559,37.24,-0.505431971029,0.0366225669645,18.99,0.6319517957,43.91,0.0151491314,27.32,1.3912592091,-259.0,15.2561463024,-40.1435066246,11.9162242342,2.168964,0.000179757695,2.16957453,,0,0
QSO023,-1622.0,48.08,-1303.0,47.5,-761.0,45.08,-180.0,33.5,267.0,34.58,751.0,59.0,1069.0,60.58,2.115912,0.000232507495,1025.04477251,23.5,2048.66196941,34.58,2684.28802961,36.08,-0.268743914314,0.0506380819725,25.7,0.65605259295,43.56,0.01007277545,39.76,2.14828526475,566.0,,19.0829777256,4.8218253805,2.121644,0.000176996115,2.12149869,,0,0
QSO024,-1194.0,463.0,-891.0,361.02,-410.0,190.3,-75.0,0.5,190.0,190.22,443.0,360.94,635.0,463.34,2.166926,0.021520751065,594.922503909,380.52,1325.76614261,721.96,1819.11028416,926.34,-0.335832083958,0.000414817432644,0.0,1.41217981442,34.5,0.1629025233,91.16,7.3049639909,61.0,,-55.6297796259,,2.167565,0.001374205245,2.16651234,,0,0
QSO025,-1908.0,68.66,-1585.0,58.08,-1033.0,39.0,-379.0,26.16,69.0,17.08,429.0,63.08,742.0,90.74,2.204936,0.000114871585,1099.24373351,42.58,2008.55566637,101.14,2643.18391829,145.0,-0.573982125124,0.045840606045,27.54,3.277630934,43.93,0.0453368108,63.44,9.55378264605,-561.0,53.9540545279,-387.324144763,19.5827372959,2.199061,0.00058812883,2.19696526,,0,0
QSO026,-302.0,9.5,-235.0,7.5,-124.0,4.0,0.0,0.5,123.0,4.0,234.0,7.5,301.0,9.5,2.066501,5.9593125e-05,234.396641736,8.0,445.040295816,15.0,572.302565021,19.0,-0.00213219616205,0.0021186440678,90.81,17.7595781814,41.99,0.01287452585,66.3,85.8605274924,-65.0,164.870859766,-241.915448071,56.1805126356,2.065831,0.00168764808,2.06422375,,0,0
QSO027,-1626.0,288.46,-1218.0,235.5,-464.0,68.24,-101.0,18.0,142.0,10.5,345.0,18.0,471.0,28.0,2.435786,8.90544799999e-05,600.973198784,59.58,1555.97842687,233.16,2088.37980883,272.48,-0.558541266795,0.0816307426055,34.88,1.92871862255,43.43,0.02170469935,27.39,6.1999133933,-576.0,167.288823297,-176.192032804,27.8747197295,2.429143,0.001920146735,2.43508026,,0,0
QSO028,-2339.0,604.78,-1929.0,567.48,-1056.0,498.74,-191.0,94.48,92.0,29.5,298.0,60.5,416.0,91.58,2.005576,0.000603787725,1145.3544367,487.22,2222.07760101,580.98,2748.44432833,567.58,-0.732375392905,0.073772126583,19.66,2.34533412575,42.83,0.0459016479,54.38,4.4664178233,-669.0,200.890163024,211.466971363,,1.998826,0.002108694325,2.00901992,,0,0
QSO029,-750.0,149.66,-584.0,116.66,-307.0,61.16,0.0,0.5,307.0,61.5,584.0,116.58,749.0,150.08,3.616662,0.000673782,609.039231624,122.66,1158.58701223,233.24,1486.91702053,299.74,0.0,0.000724805956965,41.24,7.70583073435,43.46,0.0802988149,62.49,26.5825352776,297.0,122.218892157,,,3.621049,0.00200843126,,,0,0
QSO032,-635.0,28.08,-495.0,22.0,-261.0,11.58,-1.0,0.5,259.0,11.5,494.0,22.0,634.0,28.08,1.982078,0.000146182765,446.622935885,23.08,849.764918389,43.58,1090.22334633,56.16,-0.0010111223458,0.0010186624548,20.61,2.1627300821,43.53,0.0176448055,26.01,17.7739226119,280.0,135.664452234,,,1.984544,0.0013628033,,,0,0
QSO033,-763.0,61.58,-595.0,48.0,-313.0,25.08,0.0,0.5,312.0,25.5,594.0,48.0,762.0,61.08,2.174034,0.000320006505,565.417586265,50.58,1075.96487699,95.58,1379.80105265,122.66,-0.000841042893188,0.00080536076048,21.33,1.9538938172,42.74,0.0363517296,100.37,16.6485270925,650.0,258.961591747,,,2.180775,0.002765822955,,,0,0
QSO034,-1100.0,128.0,-807.0,70.08,-402.0,37.0,-16.0,24.5,361.0,27.58,733.0,57.58,994.0,96.66,2.041003,9.861259e-05,715.011221491,19.0,1454.50315109,49.5,1990.74406815,89.58,-0.0480519480519,0.0782531168622,164.19,8.679564738,44.14,0.01326702365,29.89,13.5245269467,14.0,62.2012861603,,,2.041032,0.00063985065,,,0,0
QSO035,-1239.0,196.66,-797.0,118.06,-350.0,33.66,-50.0,18.58,213.0,21.08,453.0,41.66,612.0,79.0,2.213662,7.799651e-05,496.025248206,20.0,1143.01330549,93.66,1733.32828538,152.74,-0.2752,0.10811770692,230.88,10.4433883065,43.97,0.0128587489,60.09,10.5939834056,-298.0,95.2852895257,,,2.21055,0.001023732825,,,0,0
QSO036,-806.0,149.74,-628.0,117.08,-331.0,61.58,0.0,0.5,330.0,61.66,628.0,117.5,806.0,150.58,2.045613,0.000778604515,604.973591868,123.66,1149.57184052,234.58,1475.38806586,300.32,0.0,0.00073331007962,8.81,1.69154202374,43.15,0.0821028752,53.54,6.76715725855,-386.0,107.690638405,,,2.04177,0.00135572602,,,0,0
QSO037,-1751.0,239.24,-1517.0,263.74,-1098.0,303.08,-527.0,293.74,-26.0,297.24,237.0,407.58,370.0,479.82,2.252895,0.00269252792,1038.3910857,139.82,1679.43306402,268.66,2019.12529202,347.48,-0.72976054732,0.368667534021,16.42,3.9003117644,43.23,0.09089261985,68.07,14.8783501912,61.0,,,,2.25359,0.002086063745,,,0,0
QSO038,-1396.0,2.5,-1088.0,2.0,-573.0,1.0,-1.0,0.5,572.0,1.0,1087.0,2.0,1395.0,2.5,2.305295,0.000592039065,1113.59644704,2.0,2115.32607806,4.0,2714.38887135,5.0,-0.000459770114943,0.000459136822773,12.02,0.6857775443,43.37,0.0250209136,66.5,2.89203265035,932.0,,,,2.315338,0.00033715658,,,1,0
QSO039,-686.0,96.74,-535.0,75.16,-281.0,39.58,0.0,0.5,281.0,39.66,534.0,75.66,685.0,96.74,3.132209,0.00039610997,494.889934085,79.24,941.668952725,150.82,1207.42161024,193.48,-0.000935453695042,0.00085225469212,9.39,1.47483097942,43.53,0.0687833536,61.87,5.60425215775,216.0,67.918112459,,,3.135114,0.001021702075,,,0,0
QSO041,-1396.0,6.5,-1087.0,4.5,-572.0,3.0,0.0,0.5,572.0,2.58,1087.0,4.5,1396.0,6.0,2.250355,0.001534851405,1112.56822122,5.0,2114.29785426,9.5,2715.41708488,12.0,0.0,0.000458295142072,9.9,0.995909871215,43.01,0.0432747329,57.68,3.31484430325,433.0,,,,2.254909,0.00079354006,,,0,0
QSO042,-1401.0,0.5,-1091.0,0.5,-575.0,0.5,-1.0,0.5,573.0,0.5,1090.0,0.5,1399.0,0.5,2.121273,0.000490381785,1116.68081691,0.0,2121.49485423,0.5,2723.64203685,0.5,-0.000458505272811,0.000458295142072,7.77,0.432363225075,43.7,0.0233799957,65.18,4.34751124545,1066.0,56.656212369,,,2.132355,0.000776641625,,,0,0
QSO043,-849.0,110.0,-662.0,85.58,-348.0,45.5,0.0,0.5,348.0,45.5,661.0,86.0,848.0,110.5,2.212674,0.00023404783,643.030362314,90.5,1222.41908384,172.08,1567.81215229,221.0,-0.000755857898715,0.00066165635131,39.4,7.99923565685,43.8,0.0761656395,56.29,4.62586912285,-185.0,50.2748088012,,,2.210718,0.000590094715,,,0,0
QSO044,-647.0,24.0,-504.0,18.5,-266.0,10.0,0.0,0.5,265.0,10.0,503.0,18.58,646.0,24.5,1.959142,0.00013511635,459.383333239,20.0,870.648273716,37.58,1118.06750462,48.5,-0.000993048659384,0.000984251968505,16.01,0.6806638946,43.52,0.0153943695,82.33,3.6967341344,276.0,10.3924780491,,,1.961755,0.00017296132,,,0,0
QSO045,-515.0,166.56,-401.0,129.98,-211.0,68.24,-1.0,0.5,210.0,68.24,400.0,129.48,513.0,166.14,1.929573,0.00062191987,326.056815384,136.06,620.951219119,259.8,796.875112476,332.7,-0.00124843945069,0.00142515262515,10.59,3.07725125162,42.71,0.1183404723,15.01,21.6537354707,,,,,,,,,0,0
QSO046,-1010.0,98.58,-787.0,77.0,-415.0,40.5,-1.0,0.5,413.0,40.58,786.0,77.08,1008.0,98.66,1.914173,0.00052499303,784.000029884,81.08,1489.39867615,154.08,1910.64123919,198.0,-0.000635727908455,0.000621241617995,31.3,3.8902964277,42.88,0.04338415755,46.9,11.2165733257,,,-390.919365495,37.6759392716,,,1.91689152,,0,0
QSO049,-819.0,54.08,-639.0,42.08,-336.0,22.0,-1.0,0.5,335.0,22.0,637.0,41.58,818.0,53.58,2.160772,0.0002766775,615.883955675,44.5,1171.39037751,83.66,1502.66261845,107.66,-0.00156739811912,0.00078636161046,61.86,6.40752714135,43.75,0.0289176109,110.2,34.7369271086,-93.0,489.796377692,,,2.159694,0.005177143445,,,0,0
QSO050,-1655.0,72.08,-1345.0,61.58,-794.0,54.58,-211.0,28.0,113.0,22.5,381.0,51.58,594.0,98.74,2.111444,0.00013595586,867.018481267,40.16,1650.16829945,60.16,2153.18994631,100.24,-0.558516801854,0.0543884100235,14.44,0.54617264905,43.7,0.0162093276,29.2,3.0822294196,-73.0,49.1807889323,,,2.110745,0.00052898095,,,0,0
QSO051,-642.0,382.58,-500.0,298.0,-264.0,156.5,-1.0,0.5,262.0,157.08,498.0,298.16,640.0,383.0,2.030614,0.000640597025,453.594584247,314.0,860.222887701,596.58,1105.32798068,765.58,-0.00200400801603,0.000787361485475,3.98,1.91406915887,42.77,0.150308909,141.51,3.766594572,517.0,,,,2.035703,0.000366132225,,,0,0
QSO052,-2149.0,323.04,-1801.0,264.64,-1132.0,188.74,-353.0,99.24,201.0,68.0,608.0,101.08,834.0,130.58,2.466393,0.00110803156,1306.12443774,171.82,2355.2622819,282.24,2911.4455078,313.74,-0.495226234952,0.0854326589155,29.67,4.99960149025,43.68,0.08576910835,54.29,6.2230032743,495.0,,,,2.471921,0.000818644275,,,0,0
